13186,"Nah fuck em bitter heat bitches ""@YeIIowbang: Funny seeing heat and bulls fans get along lol"""
16103,RT @LANURSE1: Here is a #MichaelBrown supporter. She says whites are just evil albino black babies. Seriously? #tcot @KLSouth http://t.co/P&#8230;
23982,i hate hoes.
792,"#TrayvonMartin referred to Zimmerman as a ""creepy ass cracker"". Racist thug."
9493,"Good even-ink, honkies!"
5520,"@andreajmarkley @gantaro47 Yes, sorry grant, i'm a bitch so i'm going to ignore you like most libtards ignore the majority voice...."
6302,@juicygenie can a quote this and tag a bitch
2707,@Buckm00se post the bid where you tell that nig to use the jab
395,"""@socass_: Dude remember this wop video? @00sexilexi00 http://t.co/P3HEuBOQBu"" OMG WHERE DID YOU FIND THAT"
12013,Its suppose to be yellow but we dont do yellow &#127821;&#128520;&#128127;&#128127;&#128520;&#128127;&#128127;&#128127; http://t.co/y1hLiBjQmn
12135,"Just killed 3 birds with 1 stone! Thank God I payed attention in my communication classes
#work"
5072,@UberFacts studies show that you're a faggot
957,&#128128;&#128128; RT @monique504Q: &#128557;&#128128; &#8220;@ByeKandace: hop off hoe. RT @KekePalmer: Come on @KSTiLLS!!! &#128079;&#128079;&#128079;&#128079;&#128079;&#128079;&#128079;&#8221;
747,#NowPlaying : The Doors - The WASP (Texas Radio and the Big Beat) on #1069TheArrow - http://t.co/R5wuXA9jB6
6783,@npratc Explains why they're waving trash bags around over their heads.
6708,@mobilesuitwaifu All the helmets in Destiny are trash. I wish I could just rock an invisible bubble instead. Hunters look like Robocop.
11976,It's so shady when you bitches talk to guys w/ girlfriends that's so disrespectful to do to another girl
7072,"@spence1reed_ bro , i heard slaughter songs .. they all trash .. they just freestylers"
23763,do you think all the rice fags are at McDonald's?
18521,RT @ahmadblack35: Can someone find the Georgia fan who talked trash to me and told me he hope we don't end up like Tennessee? Tell him I'm &#8230;
22230,Tonight starts the road the Super Bowl for the @Browns! Here we go brownies here we go! WOOF WOOF #Browns2014Draft
12418,Like a skinny model boney bitch
4186,@MrNwachukwu naw them boys trash we started coasting
16986,RT @RIP_ALMIGHTY: @Tonyjohns000 stupid bitches can't handle the johns
468,"""I can't handle no liquor... But these bitches can't handle meeedd"" - Chief Sosa"
6104,@hunterbuch66 @kieffer_jason @sbsylvester yo fat ugly ass couldn't even pull the ugly bitch in the school
3909,@LessThanJR And the Yankees gave you a win. :) Happy Birthday!!
9608,Ha dat bitch in jail
20436,RT @zachpiecowiak: @Eddie_Sativa87 you're a fucking queer
17841,RT @TrentSkii_Baby: &#8220;@1017_Sqquad: Fucking niggas bitches man I'm use to it&#8221;
4248,@NatlFascist88 @waspnse Jews and white race traitors have to be swept clean so the Aryan race can survive.
19229,RT @iceyy505: I HATE hoe ass people.
22710,"When it rains it's good ""go to the mall weather"" all the coons be at home"
4591,"@RyanTravers1 I lied, it hurt like a bitch, and it bruises your arm. I would suggest you don't do it lol"
18235,RT @_2kkz: This faggit bitch tried to say she hoe'd for hd bearfaced bitch yusa fag
846,#milesthompson #goauche #wetback #ca http://t.co/g3Ze8bqLPG
5886,"@drew4130 @mailgal2000
Y'all hire colored folk? Only work half da day and throw da mail in da sewer if we ain't done"
5788,"@cxslug I never did those games, but I was obsessed with Angry birds. Which is why it took me so long to do CCS. I was scared. Lol"
13781,Pennsylvania is white trash and is so are all Pennsylvanians.
164,"""@KnightfanNeal #UCFPINKPARTY come on stay alive knights nation!!!!"" This is still the early bird special. #ComeAtMeUT"
20214,RT @trackinBlackKev: @MichelleDBeadle shut the fuck up dumb bitch
18919,RT @dril: [(launches sack;s of burning medical waste into the side of someones house for having a bird feeder on their porch)] Fucking Bird&#8230;
15272,RT @FunSizedYogi: @TheBlackVoice well how else will white ppl get us to forget our horrific past other than to paint a pretty picture of ho&#8230;
5698,@caycifish What is that monkey doing to those poor bottles?
17216,RT @SayMyName_Bella: I love my big booty bitches!
848,#mt #commission #gouache #tiki #wahine #monkey #tubed #surfing #wavesliding #waterwalker #notkook http://t.co/vii3SmGRm3
13792,People hate on da rig life but I love my baby more then a pussy ass nigguh
1151,&#8220;@Bossman_Carl: I just wanna do something for somebody&#8221;boy sound desperate than hoe how you bout you start off and flat that nose of yours
